./attack_train_specs_split/train/negative\1007_Negative_female_27_0.png,0,negative
./attack_train_specs_split/train/negative\1012_Negative_female_51_0.png,0,negative
./attack_train_specs_split/train/negative\1013_Negative_female_18_0.png,0,negative
./attack_train_specs_split/train/negative\1014_Negative_male_21_0.png,0,negative
./attack_train_specs_split/train/negative\1015_Negative_male_27_0.png,0,negative
./attack_train_specs_split/train/negative\1018_Negative_female_22_0.png,0,negative
./attack_train_specs_split/train/negative\1019_Negative_female_42_0.png,0,negative
./attack_train_specs_split/train/negative\1020_Negative_male_66_0.png,0,negative
./attack_train_specs_split/train/negative\1032_Negative_male_42_0.png,0,negative
./attack_train_specs_split/train/negative\1033_Negative_female_20_0.png,0,negative
./attack_train_specs_split/train/negative\1035_Negative_male_36_0.png,0,negative
./attack_train_specs_split/train/negative\1037_Negative_female_24_0.png,0,negative
./attack_train_specs_split/train/negative\1039_Negative_male_21_0.png,0,negative
./attack_train_specs_split/train/negative\1040_Negative_female_38_0.png,0,negative
./attack_train_specs_split/train/negative\1042_Negative_male_25_0.png,0,negative
./attack_train_specs_split/train/negative\1043_Negative_female_25_0.png,0,negative
./attack_train_specs_split/train/negative\1044_Negative_male_26_0.png,0,negative
./attack_train_specs_split/train/negative\1045_Negative_male_20_0.png,0,negative
./attack_train_specs_split/train/negative\1046_Negative_male_34_0.png,0,negative
./attack_train_specs_split/train/negative\1047_Negative_male_17_0.png,0,negative
./attack_train_specs_split/train/negative\1048_Negative_female_23_0.png,0,negative
./attack_train_specs_split/train/negative\1049_Negative_male_31_0.png,0,negative
./attack_train_specs_split/train/negative\104_Negative_female_36_0.png,0,negative
./attack_train_specs_split/train/negative\1052_Negative_female_35_0.png,0,negative
./attack_train_specs_split/train/negative\1057_Negative_female_23_0.png,0,negative
./attack_train_specs_split/train/negative\1058_Negative_male_26_0.png,0,negative
./attack_train_specs_split/train/negative\1059_Negative_female_34_0.png,0,negative
./attack_train_specs_split/train/negative\105_Negative_female_23_0.png,0,negative
./attack_train_specs_split/train/negative\1062_Negative_female_55_0.png,0,negative
./attack_train_specs_split/train/negative\1064_Negative_male_28_0.png,0,negative
./attack_train_specs_split/train/negative\1065_Negative_female_15_0.png,0,negative
./attack_train_specs_split/train/negative\1066_Negative_male_21_0.png,0,negative
./attack_train_specs_split/train/negative\1067_Negative_male_33_0.png,0,negative
./attack_train_specs_split/train/negative\1068_Negative_male_22_0.png,0,negative
./attack_train_specs_split/train/negative\1069_Negative_female_26_0.png,0,negative
./attack_train_specs_split/train/negative\106_Negative_male_27_0.png,0,negative
